nomExperimento;duracion;cantEjemplosEntrenamiento;cantCantEjemplosPrueba;verdaderosPositivos;falsosPositivos;verdaderosNegativos;falsosNegativos;precision;recuperacion;medidaF;fallOf;errors;intervaloconfianza
ID3 VC;0;5850;649;306.0;15.0;328.0;0.0;0.9532710280373832;1.0;0.9760765550239235;0.043731778425655975;0.002564102564102564;[-0.0013267423147635639,0.006454947442968692]
ID3 VC;1;5850;649;316.0;9.0;322.0;2.0;0.9723076923076923;0.9937106918238994;0.9828926905132193;0.027190332326283987;0.0018803418803418803;[-0.0014527204635461214,0.0052134042242298825]
ID3 VC;0;5850;649;317.0;6.0;324.0;2.0;0.9814241486068112;0.9937304075235109;0.9875389408099688;0.01818181818181818;0.0013675213675213675;[-0.0014756538613263166,0.004210696596369051]
ID3 VC;0;5850;649;306.0;14.0;326.0;3.0;0.95625;0.9902912621359223;0.972972972972973;0.041176470588235294;0.002905982905982906;[-0.0012354278373517143,0.007047393649317526]
ID3 VC;0;5850;649;311.0;9.0;329.0;0.0;0.971875;1.0;0.9857369255150555;0.026627218934911243;0.0015384615384615385;[-0.001476923076923077,0.004553846153846154]
ID3 VC;0;5850;649;304.0;15.0;326.0;4.0;0.9529780564263323;0.987012987012987;0.9696969696969697;0.04398826979472141;0.003247863247863248;[-0.0011296369870467337,0.007625363482773229]
ID3 VC;0;5850;649;317.0;13.0;316.0;3.0;0.9606060606060606;0.990625;0.9753846153846154;0.03951367781155015;0.002735042735042735;[-0.0012830602218512873,0.006753145691936757]
ID3 VC;0;5850;649;301.0;9.0;337.0;2.0;0.9709677419354839;0.9933993399339934;0.9820554649265906;0.02601156069364162;0.0018803418803418803;[-0.0014527204635461214,0.0052134042242298825]
ID3 VC;0;5850;649;306.0;15.0;321.0;7.0;0.9532710280373832;0.9776357827476039;0.9652996845425869;0.044642857142857144;0.0037606837606837607;[-9.4853612047707E-4,0.008469903641844592]
ID3 VC;1;5850;649;309.0;10.0;327.0;3.0;0.9686520376175548;0.9903846153846154;0.9793977812995245;0.02967359050445104;0.0022222222222222222;[-0.001400577949718128,0.0058450223941625724]
media;0;5850;649;309.3;11.5;325.6;2.6;0.9641521197007481;0.9916639948701507;0.9777145566619251;0.03411450608128152;0.0024102564102564104;[-0.0013623485720126987,0.0061828613925255195]
