nomExperimento;duracion;cantEjemplosEntrenamiento;cantCantEjemplosPrueba;verdaderosPositivos;falsosPositivos;verdaderosNegativos;falsosNegativos;precision;recuperacion;medidaF;fallOf;errors;intervaloconfianza
KNN VC;4205;5850;649;303.0;0.0;346.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4203;5850;649;329.0;0.0;320.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4496;5850;649;327.0;0.0;322.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4172;5850;649;327.0;0.0;322.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;3840;5850;649;304.0;0.0;345.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4130;5850;649;311.0;0.0;338.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;3820;5850;649;310.0;0.0;339.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;3823;5850;649;320.0;0.0;329.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;3802;5850;649;300.0;0.0;349.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;3784;5850;649;301.0;0.0;348.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
media;4027;5850;649;313.2;0.0;335.8;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
