nomExperimento;duracion;cantEjemplosEntrenamiento;cantCantEjemplosPrueba;verdaderosPositivos;falsosPositivos;verdaderosNegativos;falsosNegativos;precision;recuperacion;medidaF;fallOf;errors;intervaloconfianza
NB VC;9978;5850;649;313.0;2.0;334.0;0.0;0.9936507936507937;1.0;0.9968152866242038;0.005952380952380952;3.418803418803419E-4;[-0.0010804371028034843,0.001764197786564168]
NB VC;10596;5850;649;335.0;2.0;312.0;0.0;0.9940652818991098;1.0;0.9970238095238095;0.006369426751592357;3.418803418803419E-4;[-0.0010804371028034843,0.001764197786564168]
NB VC;10487;5850;649;305.0;2.0;342.0;0.0;0.993485342019544;1.0;0.9967320261437909;0.005813953488372093;3.418803418803419E-4;[-0.0010804371028034843,0.001764197786564168]
NB VC;9767;5850;649;306.0;4.0;338.0;1.0;0.9870967741935484;0.996742671009772;0.9918962722852512;0.011695906432748537;8.547008547008547E-4;[-0.001393603578348415,0.0031030052877501243]
NB VC;9067;5850;649;315.0;3.0;331.0;0.0;0.9905660377358491;1.0;0.9952606635071091;0.008982035928143712;5.128205128205128E-4;[-0.001229006538923066,0.002254647564564092]
NB VC;8627;5850;649;322.0;2.0;324.0;1.0;0.9938271604938271;0.9969040247678018;0.9953632148377125;0.006134969325153374;5.128205128205128E-4;[-0.001229006538923066,0.002254647564564092]
NB VC;10955;5850;649;322.0;0.0;327.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
NB VC;8507;5850;649;296.0;4.0;348.0;1.0;0.9866666666666667;0.9966329966329966;0.9916247906197655;0.011363636363636364;8.547008547008547E-4;[-0.001393603578348415,0.0031030052877501243]
NB VC;8903;5850;649;304.0;0.0;345.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
NB VC;8964;5850;649;338.0;1.0;310.0;0.0;0.9970501474926253;1.0;0.9985228951255538;0.003215434083601286;1.7094017094017094E-4;[-8.348761247735904E-4,0.0011767564666539322]
media;9585;5850;649;315.6;2.0;331.1;0.3;0.9937027707808564;0.9990503323836657;0.9963693764798737;0.006004202942059441;3.931623931623931E-4;[-0.001132064018001379,0.0019183888043261652]
