nomExperimento;duracion;cantEjemplosEntrenamiento;cantCantEjemplosPrueba;verdaderosPositivos;falsosPositivos;verdaderosNegativos;falsosNegativos;precision;recuperacion;medidaF;fallOf;errors;intervaloconfianza
NB VC;9047;5850;649;304.0;4.0;341.0;0.0;0.987012987012987;1.0;0.9934640522875817;0.011594202898550725;6.837606837606838E-4;[-0.0013273559500834977,0.002694877317604865]
NB VC;9114;5850;649;318.0;1.0;330.0;0.0;0.9968652037617555;1.0;0.9984301412872841;0.0030211480362537764;1.7094017094017094E-4;[-8.348761247735904E-4,0.0011767564666539322]
NB VC;11018;5850;649;324.0;1.0;323.0;1.0;0.9969230769230769;0.9969230769230769;0.9969230769230769;0.0030864197530864196;3.418803418803419E-4;[-0.0010804371028034843,0.001764197786564168]
NB VC;8408;5850;649;306.0;3.0;340.0;0.0;0.9902912621359223;1.0;0.9951219512195122;0.008746355685131196;5.128205128205128E-4;[-0.001229006538923066,0.002254647564564092]
NB VC;8303;5850;649;317.0;1.0;330.0;1.0;0.9968553459119497;0.9968553459119497;0.9968553459119497;0.0030211480362537764;3.418803418803419E-4;[-0.0010804371028034843,0.001764197786564168]
NB VC;8931;5850;649;294.0;1.0;354.0;0.0;0.9966101694915255;1.0;0.99830220713073;0.0028169014084507044;1.7094017094017094E-4;[-8.348761247735904E-4,0.0011767564666539322]
NB VC;9099;5850;649;321.0;2.0;326.0;0.0;0.9938080495356038;1.0;0.9968944099378882;0.006097560975609756;3.418803418803419E-4;[-0.0010804371028034843,0.001764197786564168]
NB VC;8862;5850;649;334.0;1.0;313.0;1.0;0.9970149253731343;0.9970149253731343;0.9970149253731343;0.0031847133757961785;3.418803418803419E-4;[-0.0010804371028034843,0.001764197786564168]
NB VC;9898;5850;649;318.0;2.0;329.0;0.0;0.99375;1.0;0.9968652037617556;0.006042296072507553;3.418803418803419E-4;[-0.0010804371028034843,0.001764197786564168]
NB VC;8048;5850;649;309.0;2.0;338.0;0.0;0.9935691318327974;1.0;0.996774193548387;0.0058823529411764705;3.418803418803419E-4;[-0.0010804371028034843,0.001764197786564168]
media;9072;5850;649;314.5;1.8;332.4;0.3;0.9943092001264622;0.9990470139771283;0.9966724766281096;0.005385996409335727;3.58974358974359E-4;[-0.0010984548628697323,0.0018164035808184505]
