nomExperimento;duracion;cantEjemplosEntrenamiento;cantCantEjemplosPrueba;verdaderosPositivos;falsosPositivos;verdaderosNegativos;falsosNegativos;precision;recuperacion;medidaF;fallOf;errors;intervaloconfianza
NB VC;10868;5850;649;320.0;1.0;328.0;0.0;0.9968847352024922;1.0;0.9984399375975038;0.00303951367781155;1.7094017094017094E-4;[-8.348761247735904E-4,0.0011767564666539322]
NB VC;12693;5850;649;298.0;3.0;348.0;0.0;0.9900332225913622;1.0;0.994991652754591;0.008547008547008548;5.128205128205128E-4;[-0.001229006538923066,0.002254647564564092]
NB VC;10066;5850;649;292.0;3.0;354.0;0.0;0.9898305084745763;1.0;0.9948892674616696;0.008403361344537815;5.128205128205128E-4;[-0.001229006538923066,0.002254647564564092]
NB VC;7361;5850;649;313.0;1.0;335.0;0.0;0.9968152866242038;1.0;0.9984051036682616;0.002976190476190476;1.7094017094017094E-4;[-8.348761247735904E-4,0.0011767564666539322]
NB VC;9109;5850;649;327.0;1.0;321.0;0.0;0.9969512195121951;1.0;0.998473282442748;0.003105590062111801;1.7094017094017094E-4;[-8.348761247735904E-4,0.0011767564666539322]
NB VC;8241;5850;649;310.0;5.0;334.0;0.0;0.9841269841269841;1.0;0.9919999999999999;0.014749262536873156;8.547008547008547E-4;[-0.001393603578348415,0.0031030052877501243]
NB VC;8454;5850;649;308.0;1.0;340.0;0.0;0.9967637540453075;1.0;0.9983792544570502;0.002932551319648094;1.7094017094017094E-4;[-8.348761247735904E-4,0.0011767564666539322]
NB VC;7693;5850;649;312.0;1.0;336.0;0.0;0.9968051118210862;1.0;0.9984;0.002967359050445104;1.7094017094017094E-4;[-8.348761247735904E-4,0.0011767564666539322]
NB VC;7883;5850;649;311.0;0.0;338.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
NB VC;7970;5850;649;349.0;0.0;299.0;1.0;1.0;0.9971428571428571;0.9985693848354792;0.0;1.7094017094017094E-4;[-8.348761247735904E-4,0.0011767564666539322]
media;9033;5850;649;314.0;1.6;333.3;0.1;0.9949302915082382;0.9996816300541228;0.9973003017309829;0.004777545535980889;2.9059829059829064E-4;[-0.0010207472352158663,0.0016019438164124476]
