nomExperimento;duracion;cantEjemplosEntrenamiento;cantCantEjemplosPrueba;verdaderosPositivos;falsosPositivos;verdaderosNegativos;falsosNegativos;precision;recuperacion;medidaF;fallOf;errors;intervaloconfianza
ID3 VC;0;5850;649;304.0;8.0;337.0;0.0;0.9743589743589743;1.0;0.9870129870129869;0.02318840579710145;0.0013675213675213675;[-0.0014756538613263166,0.004210696596369051]
ID3 VC;0;5850;649;316.0;10.0;321.0;2.0;0.9693251533742331;0.9937106918238994;0.9813664596273292;0.030211480362537766;0.0020512820512820513;[-0.0014296899108321216,0.005532254013396224]
ID3 VC;0;5850;649;325.0;12.0;312.0;0.0;0.9643916913946587;1.0;0.9818731117824773;0.037037037037037035;0.0020512820512820513;[-0.0014296899108321216,0.005532254013396224]
ID3 VC;0;5850;649;301.0;11.0;332.0;5.0;0.9647435897435898;0.9836601307189542;0.9741100323624595;0.03206997084548105;0.002735042735042735;[-0.0012830602218512873,0.006753145691936757]
ID3 VC;0;5850;649;314.0;15.0;316.0;4.0;0.9544072948328267;0.9874213836477987;0.9706336939721792;0.045317220543806644;0.003247863247863248;[-0.0011296369870467337,0.007625363482773229]
ID3 VC;0;5850;649;286.0;11.0;344.0;8.0;0.9629629629629629;0.9727891156462585;0.9678510998307952;0.030985915492957747;0.003247863247863248;[-0.0011296369870467337,0.007625363482773229]
ID3 VC;0;5850;649;318.0;12.0;316.0;3.0;0.9636363636363636;0.9906542056074766;0.9769585253456221;0.036585365853658534;0.002564102564102564;[-0.0013267423147635639,0.006454947442968692]
ID3 VC;0;5850;649;334.0;12.0;302.0;1.0;0.9653179190751445;0.9970149253731343;0.9809104258443465;0.03821656050955414;0.0022222222222222222;[-0.001400577949718128,0.0058450223941625724]
ID3 VC;0;5850;649;315.0;11.0;320.0;3.0;0.9662576687116564;0.9905660377358491;0.9782608695652174;0.03323262839879154;0.002393162393162393;[-0.0013660729602841411,0.006152397746608928]
ID3 VC;0;5850;649;308.0;9.0;331.0;1.0;0.9716088328075709;0.9967637540453075;0.9840255591054313;0.026470588235294117;0.0017094017094017094;[-0.001468820662848003,0.004887624081651422]
media;0;5850;649;312.1;11.1;323.1;2.7;0.9656559405940593;0.991423125794155;0.978369905956113;0.03321364452423698;0.002358974358974359;[-0.0013733766756261674,0.006091325393574886]
