nomExperimento;duracion;cantEjemplosEntrenamiento;cantCantEjemplosPrueba;verdaderosPositivos;falsosPositivos;verdaderosNegativos;falsosNegativos;precision;recuperacion;medidaF;fallOf;errors;intervaloconfianza
ID3 VC;1;5850;649;307.0;13.0;323.0;6.0;0.959375;0.9808306709265175;0.9699842022116903;0.03869047619047619;0.003247863247863248;[-0.0011296369870467337,0.007625363482773229]
ID3 VC;0;5850;649;332.0;8.0;306.0;3.0;0.9764705882352941;0.991044776119403;0.9837037037037036;0.025477707006369428;0.0018803418803418803;[-0.0014527204635461214,0.0052134042242298825]
ID3 VC;0;5850;649;305.0;14.0;330.0;0.0;0.9561128526645768;1.0;0.9775641025641025;0.040697674418604654;0.002393162393162393;[-0.0013660729602841411,0.006152397746608928]
ID3 VC;1;5850;649;305.0;19.0;323.0;2.0;0.941358024691358;0.993485342019544;0.9667194928684628;0.05555555555555555;0.0035897435897435897;[-0.0010115986009967787,0.008191085780483958]
ID3 VC;1;5850;649;315.0;12.0;322.0;0.0;0.963302752293578;1.0;0.9813084112149533;0.03592814371257485;0.0020512820512820513;[-0.0014296899108321216,0.005532254013396224]
ID3 VC;0;5850;649;323.0;10.0;316.0;0.0;0.96996996996997;1.0;0.9847560975609756;0.03067484662576687;0.0017094017094017094;[-0.001468820662848003,0.004887624081651422]
ID3 VC;0;5850;649;319.0;9.0;318.0;3.0;0.9725609756097561;0.9906832298136646;0.9815384615384616;0.027522935779816515;0.0020512820512820513;[-0.0014296899108321216,0.005532254013396224]
ID3 VC;0;5850;649;293.0;14.0;338.0;4.0;0.9543973941368078;0.9865319865319865;0.9701986754966887;0.03977272727272727;0.003076923076923077;[-0.0011841881149867945,0.007338034268832948]
ID3 VC;0;5850;649;301.0;14.0;331.0;3.0;0.9555555555555556;0.9901315789473685;0.9725363489499192;0.04057971014492753;0.002905982905982906;[-0.0012354278373517143,0.007047393649317526]
ID3 VC;1;5850;649;335.0;8.0;303.0;3.0;0.9766763848396501;0.9911242603550295;0.9838472834067548;0.02572347266881029;0.0018803418803418803;[-0.0014527204635461214,0.0052134042242298825]
media;0;5850;649;313.5;12.1;321.0;2.4;0.9628378378378377;0.9924026590693258;0.9773967264224473;0.03632542779945962;0.002478632478632479;[-0.0013469792891766751,0.006304244246441633]
