nomExperimento;duracion;cantEjemplosEntrenamiento;cantCantEjemplosPrueba;verdaderosPositivos;falsosPositivos;verdaderosNegativos;falsosNegativos;precision;recuperacion;medidaF;fallOf;errors;intervaloconfianza
NB VC;10207;5850;649;316.0;3.0;330.0;0.0;0.9905956112852664;1.0;0.9952755905511811;0.009009009009009009;5.128205128205128E-4;[-0.001229006538923066,0.002254647564564092]
NB VC;12289;5850;649;292.0;3.0;354.0;0.0;0.9898305084745763;1.0;0.9948892674616696;0.008403361344537815;5.128205128205128E-4;[-0.001229006538923066,0.002254647564564092]
NB VC;11237;5850;649;334.0;3.0;312.0;0.0;0.9910979228486647;1.0;0.9955290611028316;0.009523809523809525;5.128205128205128E-4;[-0.001229006538923066,0.002254647564564092]
NB VC;8464;5850;649;323.0;3.0;322.0;1.0;0.99079754601227;0.9969135802469136;0.9938461538461539;0.009230769230769232;6.837606837606838E-4;[-0.0013273559500834977,0.002694877317604865]
NB VC;9489;5850;649;311.0;0.0;338.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
NB VC;8895;5850;649;322.0;2.0;324.0;1.0;0.9938271604938271;0.9969040247678018;0.9953632148377125;0.006134969325153374;5.128205128205128E-4;[-0.001229006538923066,0.002254647564564092]
NB VC;8325;5850;649;307.0;2.0;340.0;0.0;0.9935275080906149;1.0;0.9967532467532468;0.005847953216374269;3.418803418803419E-4;[-0.0010804371028034843,0.001764197786564168]
NB VC;8519;5850;649;310.0;3.0;335.0;1.0;0.9904153354632588;0.9967845659163987;0.9935897435897435;0.008875739644970414;6.837606837606838E-4;[-0.0013273559500834977,0.002694877317604865]
NB VC;10363;5850;649;311.0;2.0;336.0;0.0;0.9936102236421726;1.0;0.9967948717948718;0.005917159763313609;3.418803418803419E-4;[-0.0010804371028034843,0.001764197786564168]
NB VC;8556;5850;649;295.0;2.0;352.0;0.0;0.9932659932659933;1.0;0.9966216216216216;0.005649717514124294;3.418803418803419E-4;[-0.0010804371028034843,0.001764197786564168]
media;9634;5850;649;312.1;2.3;334.3;0.3;0.9926844783715012;0.9990396927016645;0.9958519463943841;0.006833036244800949;4.4444444444444436E-4;[-0.0011771637584367513,0.00206605264732564]
