nomExperimento;duracion;cantEjemplosEntrenamiento;cantCantEjemplosPrueba;verdaderosPositivos;falsosPositivos;verdaderosNegativos;falsosNegativos;precision;recuperacion;medidaF;fallOf;errors;intervaloconfianza
NB VC;10540;5850;649;306.0;1.0;342.0;0.0;0.996742671009772;1.0;0.99836867862969;0.0029154518950437317;1.7094017094017094E-4;[-8.348761247735904E-4,0.0011767564666539322]
NB VC;11057;5850;649;318.0;1.0;330.0;0.0;0.9968652037617555;1.0;0.9984301412872841;0.0030211480362537764;1.7094017094017094E-4;[-8.348761247735904E-4,0.0011767564666539322]
NB VC;8604;5850;649;319.0;4.0;326.0;0.0;0.9876160990712074;1.0;0.9937694704049844;0.012121212121212121;6.837606837606838E-4;[-0.0013273559500834977,0.002694877317604865]
NB VC;9086;5850;649;309.0;3.0;337.0;0.0;0.9903846153846154;1.0;0.9951690821256038;0.008823529411764706;5.128205128205128E-4;[-0.001229006538923066,0.002254647564564092]
NB VC;8232;5850;649;310.0;2.0;336.0;1.0;0.9935897435897436;0.9967845659163987;0.9951845906902087;0.005917159763313609;5.128205128205128E-4;[-0.001229006538923066,0.002254647564564092]
NB VC;9758;5850;649;307.0;2.0;339.0;1.0;0.9935275080906149;0.9967532467532467;0.9951377633711508;0.005865102639296188;5.128205128205128E-4;[-0.001229006538923066,0.002254647564564092]
NB VC;9048;5850;649;320.0;0.0;329.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
NB VC;8417;5850;649;303.0;1.0;345.0;0.0;0.9967105263157895;1.0;0.9983525535420099;0.002890173410404624;1.7094017094017094E-4;[-8.348761247735904E-4,0.0011767564666539322]
NB VC;8986;5850;649;313.0;3.0;333.0;0.0;0.990506329113924;1.0;0.9952305246422893;0.008928571428571428;5.128205128205128E-4;[-0.001229006538923066,0.002254647564564092]
NB VC;8669;5850;649;312.0;2.0;335.0;0.0;0.9936305732484076;1.0;0.9968051118210862;0.005934718100890208;3.418803418803419E-4;[-0.0010804371028034843,0.001764197786564168]
media;9239;5850;649;311.7;1.9;335.2;0.2;0.9939413265306123;0.9993587688361655;0.996642685851319;0.005636309700385643;3.58974358974359E-4;[-0.0010984548628697323,0.0018164035808184505]
