nomExperimento;duracion;cantEjemplosEntrenamiento;cantCantEjemplosPrueba;verdaderosPositivos;falsosPositivos;verdaderosNegativos;falsosNegativos;precision;recuperacion;medidaF;fallOf;errors;intervaloconfianza
KNN VC;4426;5850;649;332.0;0.0;317.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4148;5850;649;315.0;0.0;334.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4257;5850;649;296.0;0.0;353.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4208;5850;649;305.0;0.0;344.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;3941;5850;649;320.0;0.0;329.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;3963;5850;649;319.0;0.0;330.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4104;5850;649;330.0;0.0;319.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4060;5850;649;299.0;0.0;350.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4146;5850;649;316.0;0.0;333.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4130;5850;649;297.0;0.0;352.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
media;4138;5850;649;312.9;0.0;336.1;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
