nomExperimento;duracion;cantEjemplosEntrenamiento;cantCantEjemplosPrueba;verdaderosPositivos;falsosPositivos;verdaderosNegativos;falsosNegativos;precision;recuperacion;medidaF;fallOf;errors;intervaloconfianza
ID3 VC;0;5850;649;318.0;9.0;320.0;2.0;0.9724770642201835;0.99375;0.982998454404946;0.02735562310030395;0.0018803418803418803;[-0.0014527204635461214,0.0052134042242298825]
ID3 VC;0;5850;649;298.0;12.0;339.0;0.0;0.9612903225806452;1.0;0.9802631578947368;0.03418803418803419;0.0020512820512820513;[-0.0014296899108321216,0.005532254013396224]
ID3 VC;0;5850;649;290.0;10.0;347.0;2.0;0.9666666666666667;0.9931506849315068;0.9797297297297298;0.028011204481792718;0.0020512820512820513;[-0.0014296899108321216,0.005532254013396224]
ID3 VC;0;5850;649;310.0;11.0;325.0;3.0;0.9657320872274143;0.9904153354632588;0.9779179810725551;0.03273809523809524;0.002393162393162393;[-0.0013660729602841411,0.006152397746608928]
ID3 VC;1;5850;649;324.0;6.0;316.0;3.0;0.9818181818181818;0.9908256880733946;0.9863013698630138;0.018633540372670808;0.0015384615384615385;[-0.001476923076923077,0.004553846153846154]
ID3 VC;0;5850;649;308.0;10.0;329.0;2.0;0.9685534591194969;0.9935483870967742;0.980891719745223;0.029498525073746312;0.0020512820512820513;[-0.0014296899108321216,0.005532254013396224]
ID3 VC;0;5850;649;303.0;20.0;321.0;5.0;0.9380804953560371;0.9837662337662337;0.9603803486529318;0.05865102639296188;0.004273504273504274;[-7.452487707937739E-4,0.00929225731780232]
ID3 VC;0;5850;649;310.0;9.0;328.0;2.0;0.9717868338557993;0.9935897435897436;0.98256735340729;0.026706231454005934;0.0018803418803418803;[-0.0014527204635461214,0.0052134042242298825]
ID3 VC;0;5850;649;309.0;8.0;330.0;2.0;0.9747634069400631;0.9935691318327974;0.9840764331210191;0.023668639053254437;0.0017094017094017094;[-0.001468820662848003,0.004887624081651422]
ID3 VC;0;5850;649;346.0;0.0;299.0;4.0;1.0;0.9885714285714285;0.9942528735632185;0.0;6.837606837606838E-4;[-0.0013273559500834977,0.002694877317604865]
media;0;5850;649;311.6;9.5;325.4;2.5;0.9704142011834319;0.9920407513530722;0.9811083123425693;0.028366676619886535;0.0020512820512820513;[-0.0014296899108321216,0.005532254013396224]
