nomExperimento;duracion;cantEjemplosEntrenamiento;cantCantEjemplosPrueba;verdaderosPositivos;falsosPositivos;verdaderosNegativos;falsosNegativos;precision;recuperacion;medidaF;fallOf;errors;intervaloconfianza
NB VC;9219;5850;649;318.0;0.0;331.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
NB VC;9368;5850;649;326.0;0.0;323.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
NB VC;9727;5850;649;314.0;2.0;333.0;0.0;0.9936708860759493;1.0;0.9968253968253968;0.005970149253731343;3.418803418803419E-4;[-0.0010804371028034843,0.001764197786564168]
NB VC;8466;5850;649;297.0;4.0;348.0;0.0;0.9867109634551495;1.0;0.9933110367892978;0.011363636363636364;6.837606837606838E-4;[-0.0013273559500834977,0.002694877317604865]
NB VC;8428;5850;649;302.0;3.0;344.0;0.0;0.9901639344262295;1.0;0.9950576606260296;0.008645533141210375;5.128205128205128E-4;[-0.001229006538923066,0.002254647564564092]
NB VC;8491;5850;649;321.0;3.0;324.0;1.0;0.9907407407407407;0.9968944099378882;0.9938080495356038;0.009174311926605505;6.837606837606838E-4;[-0.0013273559500834977,0.002694877317604865]
NB VC;8338;5850;649;329.0;0.0;320.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
NB VC;9554;5850;649;282.0;3.0;364.0;0.0;0.9894736842105263;1.0;0.9947089947089947;0.008174386920980926;5.128205128205128E-4;[-0.001229006538923066,0.002254647564564092]
NB VC;8883;5850;649;301.0;3.0;345.0;0.0;0.9901315789473685;1.0;0.9950413223140495;0.008620689655172414;5.128205128205128E-4;[-0.001229006538923066,0.002254647564564092]
NB VC;7690;5850;649;333.0;2.0;313.0;1.0;0.9940298507462687;0.9970059880239521;0.9955156950672646;0.006349206349206349;5.128205128205128E-4;[-0.001229006538923066,0.002254647564564092]
media;8816;5850;649;312.3;2.0;334.5;0.2;0.9936366528794146;0.99936;0.9964901084875558;0.005943536404160475;3.760683760683761E-4;[-0.001115645236069782,0.0018677819882065342]
