nomExperimento;duracion;cantEjemplosEntrenamiento;cantCantEjemplosPrueba;verdaderosPositivos;falsosPositivos;verdaderosNegativos;falsosNegativos;precision;recuperacion;medidaF;fallOf;errors;intervaloconfianza
KNN VC;4139;5850;649;316.0;0.0;333.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4470;5850;649;292.0;0.0;357.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4062;5850;649;334.0;0.0;315.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4561;5850;649;324.0;0.0;325.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4294;5850;649;311.0;0.0;338.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;3932;5850;649;323.0;0.0;326.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4003;5850;649;307.0;0.0;342.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;3920;5850;649;311.0;0.0;338.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4137;5850;649;311.0;0.0;338.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4159;5850;649;295.0;0.0;354.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
media;4167;5850;649;312.4;0.0;336.6;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
