nomExperimento;duracion;cantEjemplosEntrenamiento;cantCantEjemplosPrueba;verdaderosPositivos;falsosPositivos;verdaderosNegativos;falsosNegativos;precision;recuperacion;medidaF;fallOf;errors;intervaloconfianza
KNN VC;4123;5850;649;306.0;0.0;343.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4144;5850;649;318.0;0.0;331.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4282;5850;649;319.0;0.0;330.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4055;5850;649;309.0;0.0;340.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4369;5850;649;311.0;0.0;338.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4055;5850;649;308.0;0.0;341.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4019;5850;649;320.0;0.0;329.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4045;5850;649;303.0;0.0;346.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4030;5850;649;313.0;0.0;336.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4071;5850;649;312.0;0.0;337.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
media;4119;5850;649;311.9;0.0;337.1;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
