nomExperimento;duracion;cantEjemplosEntrenamiento;cantCantEjemplosPrueba;verdaderosPositivos;falsosPositivos;verdaderosNegativos;falsosNegativos;precision;recuperacion;medidaF;fallOf;errors;intervaloconfianza
KNN VC;4210;5850;649;320.0;0.0;329.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4128;5850;649;298.0;0.0;351.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;5410;5850;649;292.0;0.0;357.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;3801;5850;649;313.0;0.0;336.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;3808;5850;649;327.0;0.0;322.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;3984;5850;649;310.0;0.0;339.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4036;5850;649;308.0;0.0;341.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4064;5850;649;312.0;0.0;337.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4000;5850;649;311.0;0.0;338.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4053;5850;649;350.0;0.0;299.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
media;4149;5850;649;314.1;0.0;334.9;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
