nomExperimento;duracion;cantEjemplosEntrenamiento;cantCantEjemplosPrueba;verdaderosPositivos;falsosPositivos;verdaderosNegativos;falsosNegativos;precision;recuperacion;medidaF;fallOf;errors;intervaloconfianza
KNN VC;6118;5850;649;317.0;0.0;332.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;6087;5850;649;296.0;0.0;353.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;5840;5850;649;308.0;0.0;341.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;5370;5850;649;297.0;0.0;352.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;5150;5850;649;310.0;0.0;339.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;5148;5850;649;308.0;0.0;341.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;5294;5850;649;317.0;0.0;332.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;5312;5850;649;324.0;0.0;325.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;5111;5850;649;293.0;0.0;356.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;5082;5850;649;327.0;0.0;322.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
media;5451;5850;649;309.7;0.0;339.3;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
