nomExperimento;duracion;cantEjemplosEntrenamiento;cantCantEjemplosPrueba;verdaderosPositivos;falsosPositivos;verdaderosNegativos;falsosNegativos;precision;recuperacion;medidaF;fallOf;errors;intervaloconfianza
ID3 VC;1;5850;649;316.0;10.0;322.0;1.0;0.9693251533742331;0.9968454258675079;0.9828926905132193;0.030120481927710843;0.0018803418803418803;[-0.0014527204635461214,0.0052134042242298825]
ID3 VC;0;5850;649;293.0;13.0;340.0;3.0;0.9575163398692811;0.9898648648648649;0.973421926910299;0.036827195467422094;0.002735042735042735;[-0.0012830602218512873,0.006753145691936757]
ID3 VC;0;5850;649;307.0;10.0;331.0;1.0;0.9684542586750788;0.9967532467532467;0.9823999999999999;0.02932551319648094;0.0018803418803418803;[-0.0014527204635461214,0.0052134042242298825]
ID3 VC;0;5850;649;293.0;19.0;333.0;4.0;0.9391025641025641;0.9865319865319865;0.9622331691297208;0.05397727272727273;0.003931623931623932;[-8.830212156282205E-4,0.008746269078876084]
ID3 VC;1;5850;649;304.0;12.0;327.0;6.0;0.9620253164556962;0.9806451612903225;0.9712460063897763;0.035398230088495575;0.003076923076923077;[-0.0011841881149867945,0.007338034268832948]
ID3 VC;1;5850;649;307.0;15.0;326.0;1.0;0.953416149068323;0.9967532467532467;0.9746031746031746;0.04398826979472141;0.002735042735042735;[-0.0012830602218512873,0.006753145691936757]
ID3 VC;1;5850;649;317.0;16.0;316.0;0.0;0.9519519519519519;1.0;0.9753846153846154;0.04819277108433735;0.002735042735042735;[-0.0012830602218512873,0.006753145691936757]
ID3 VC;1;5850;649;321.0;11.0;314.0;3.0;0.9668674698795181;0.9907407407407407;0.978658536585366;0.033846153846153845;0.002393162393162393;[-0.0013660729602841411,0.006152397746608928]
ID3 VC;0;5850;649;287.0;16.0;340.0;6.0;0.9471947194719472;0.9795221843003413;0.9630872483221478;0.0449438202247191;0.0037606837606837607;[-9.4853612047707E-4,0.008469903641844592]
ID3 VC;1;5850;649;324.0;7.0;315.0;3.0;0.9788519637462235;0.9908256880733946;0.9848024316109422;0.021739130434782608;0.0017094017094017094;[-0.001468820662848003,0.004887624081651422]
media;0;5850;649;306.9;12.9;326.4;2.8;0.9596622889305817;0.9909589925734581;0.9750595710881652;0.03801945181255527;0.002683760683760684;[-0.0012965966424600944,0.006664118009981462]
