nomExperimento;duracion;cantEjemplosEntrenamiento;cantCantEjemplosPrueba;verdaderosPositivos;falsosPositivos;verdaderosNegativos;falsosNegativos;precision;recuperacion;medidaF;fallOf;errors;intervaloconfianza
NB VC;25592;5850;649;288.0;3.0;357.0;1.0;0.9896907216494846;0.9965397923875432;0.993103448275862;0.008333333333333333;6.837606837606838E-4;[-0.0013273559500834977,0.002694877317604865]
NB VC;22434;5850;649;294.0;0.0;354.0;1.0;1.0;0.9966101694915255;0.99830220713073;0.0;1.7094017094017094E-4;[-8.348761247735904E-4,0.0011767564666539322]
NB VC;22215;5850;649;304.0;3.0;342.0;0.0;0.990228013029316;1.0;0.9950900163666121;0.008695652173913044;5.128205128205128E-4;[-0.001229006538923066,0.002254647564564092]
NB VC;23236;5850;649;322.0;0.0;327.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
NB VC;22064;5850;649;305.0;0.0;344.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
NB VC;22615;5850;649;298.0;4.0;347.0;0.0;0.9867549668874173;1.0;0.9933333333333334;0.011396011396011397;6.837606837606838E-4;[-0.0013273559500834977,0.002694877317604865]
NB VC;22817;5850;649;328.0;3.0;318.0;0.0;0.9909365558912386;1.0;0.9954476479514416;0.009345794392523364;5.128205128205128E-4;[-0.001229006538923066,0.002254647564564092]
NB VC;23099;5850;649;335.0;2.0;312.0;0.0;0.9940652818991098;1.0;0.9970238095238095;0.006369426751592357;3.418803418803419E-4;[-0.0010804371028034843,0.001764197786564168]
NB VC;21985;5850;649;305.0;2.0;342.0;0.0;0.993485342019544;1.0;0.9967320261437909;0.005813953488372093;3.418803418803419E-4;[-0.0010804371028034843,0.001764197786564168]
NB VC;21915;5850;649;326.0;1.0;322.0;0.0;0.9969418960244648;1.0;0.9984686064318529;0.0030959752321981426;1.7094017094017094E-4;[-8.348761247735904E-4,0.0011767564666539322]
media;22797;5850;649;310.5;1.8;336.5;0.2;0.9942363112391931;0.9993562922433216;0.9967897271268058;0.0053207212533254505;3.418803418803419E-4;[-0.0010804371028034843,0.001764197786564168]
