nomExperimento;duracion;cantEjemplosEntrenamiento;cantCantEjemplosPrueba;verdaderosPositivos;falsosPositivos;verdaderosNegativos;falsosNegativos;precision;recuperacion;medidaF;fallOf;errors;intervaloconfianza
Media ID3;1;6499;1625;806.5;21.5;794.0;3.0;0.9740338164251208;0.9962940086473132;0.9850381679389313;0.026364193746167996;0.0037698107401138636;[7.901349555326375E-4,0.00674948652469509]
Media KNN;14627;6499;1625;809.5;0.0;815.5;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
Media NAIVEBAYES;61773;6499;1625;809.0;6.0;809.5;0.5;0.992638036809816;0.9993823347745522;0.9959987688519544;0.007357449417535254;0.001000153869826127;[-5.367457713637282E-4,0.002537053511015982]
